layer,submodule,params,sample_n,rmse_normal,rmse_laplace,rmse_logistic,mae_normal,mae_laplace,mae_logistic,best_family
0,q,12845056,1000000,0.16666154779911224,0.0502234798677659,0.0786781489988871,0.10921566482098524,0.04123516007193808,0.050267642407434296,Laplace
0,k,1835008,1000000,0.08042632626693483,0.12112543630117406,0.04213965423080411,0.062096986621696056,0.08410090169704405,0.014544729757288757,Logistic
0,v,1835008,1000000,0.02784350362931314,0.17329470173012002,0.07393366807303133,0.018333362575275354,0.1275583885370152,0.041573230485742595,Normal
0,gate_proj,67895296,1000000,0.17937246049052916,0.0827258888275468,0.11621348363805067,0.1514122437192412,0.06565346506862113,0.10011543877622914,Laplace
0,up_proj,67895296,1000000,0.13454114424136304,0.09629452441825732,0.08303286955992875,0.11539406558548099,0.05530572976771852,0.07207746556834818,Logistic
0,down_proj,67895296,1000000,0.04701376336239533,0.14727075263571257,0.04757792850041072,0.035064818582744135,0.11061153507773436,0.02513104878005783,Normal
1,q,12845056,1000000,0.11999132360294935,0.0749752164042516,0.03859370120077481,0.08967157200891612,0.05598567455900386,0.032390086976319364,Logistic
1,k,1835008,1000000,0.10972849002103849,0.09541417764481068,0.04968891596923692,0.08701591945384538,0.05975102451998019,0.03359884713127794,Logistic
1,v,1835008,1000000,0.03575941236284562,0.1651741828874888,0.06776165759310133,0.025949336629358104,0.12010538428573671,0.03447722858513368,Normal
1,gate_proj,67895296,1000000,0.2723994644419138,0.1386639437193966,0.20982080163507372,0.23492306612356234,0.11818585251563964,0.1837299082923572,Laplace
1,up_proj,67895296,1000000,0.29481644323314754,0.13461837255525289,0.22282787101795337,0.2487948206122819,0.11546485296581896,0.19395844542080384,Laplace
1,down_proj,67895296,1000000,0.18510452892659934,0.04889094542905597,0.10955402780010565,0.15171276906367323,0.02568198503444685,0.0964225657864267,Laplace
2,q,12845056,1000000,0.08415693628339499,0.11029083258931413,0.020830817797094888,0.06153937840624741,0.08396010662798817,0.009632118910014786,Logistic
2,k,1835008,1000000,0.09558015893350694,0.10706858044179358,0.04201988492089722,0.07372241233235696,0.07239720236211633,0.020658378047765418,Logistic
2,v,1835008,1000000,0.038361892546726756,0.16174794433506606,0.06384139013361632,0.02700500898790757,0.11878844502219393,0.03301795684916014,Normal
2,gate_proj,67895296,1000000,0.14238292157794674,0.1094125190729168,0.09855788389345363,0.12309615050883392,0.07366130707264941,0.08398264677158078,Logistic
2,up_proj,67895296,1000000,0.15250665468451935,0.07344157713323991,0.08733306926249419,0.1277250483233244,0.04556639735183454,0.07679211328530876,Laplace
2,down_proj,67895296,1000000,0.07202332194902722,0.12358177229132918,0.03449182385785328,0.05658704747304884,0.08975426154842435,0.01707363441330959,Logistic
3,q,12845056,1000000,0.07677037774496208,0.11771095335376064,0.025738194355955778,0.057330915900370955,0.08826802796644607,0.012450073570586301,Logistic
3,k,1835008,1000000,0.07816166466089745,0.1254038322017446,0.04781592642675104,0.06243573281931245,0.08462098596948972,0.019470694324083843,Logistic
3,v,1835008,1000000,0.054699110012549755,0.14564065388489306,0.05258746339884678,0.04121286619709764,0.10464459512630367,0.019653328561161847,Logistic
3,gate_proj,67895296,1000000,0.025120322897677672,0.1685475842433829,0.06702848483183908,0.019182902509584106,0.1264083616170637,0.04058478728347622,Normal
3,up_proj,67895296,1000000,0.059840599316792455,0.13377171422181627,0.03473049003714808,0.04441219291545906,0.10118264002462682,0.017107021786006087,Logistic
3,down_proj,67895296,1000000,0.0521124944762423,0.14631344253205944,0.05330493963708371,0.04389440760466581,0.1028331595923971,0.02848582402111096,Normal
4,q,12845056,1000000,0.0991729233256513,0.09570911088135692,0.02532907777172645,0.07422985608648508,0.0713990343622336,0.018260833290533626,Logistic
4,k,1835008,1000000,0.11802001403140347,0.08780704617645087,0.053050606637653465,0.09262939055156044,0.05404291905215151,0.0380029864685875,Logistic
4,v,1835008,1000000,0.05636882908201077,0.14448293026875336,0.05246442449481815,0.042884252375776914,0.10311671459012832,0.018795044121398038,Logistic
4,gate_proj,67895296,1000000,0.02245251857406001,0.17117737277502953,0.0694970358846442,0.017157853395935334,0.128526779195055,0.04265680637195506,Normal
4,up_proj,67895296,1000000,0.06070345524978556,0.13288805731665781,0.034443250285723655,0.04532056011672026,0.10034920465322032,0.016150495344309863,Logistic
4,down_proj,67895296,1000000,0.03713102026248732,0.15825490879223186,0.05957425875666442,0.029987898982230424,0.1161294561941211,0.030932177825511414,Normal
5,q,12845056,1000000,0.10204898834082754,0.09260775463896097,0.0241908663984634,0.074949384347615,0.0705204199163079,0.018224446324752706,Logistic
5,k,1835008,1000000,0.11336410774057054,0.09159059705215519,0.049846142313436564,0.08842137393119093,0.05806650341454514,0.03390590669179302,Logistic
5,v,1835008,1000000,0.03863552379952366,0.16175470864252622,0.06393176790903414,0.027100593142708674,0.11867826490572608,0.03288491140618118,Normal
5,gate_proj,67895296,1000000,0.025428061911376438,0.168267361862665,0.06682085503533652,0.019525388832262736,0.12608205110923623,0.04029298466065899,Normal
5,up_proj,67895296,1000000,0.05441642647365348,0.13951437760470822,0.04140549302550412,0.04187902862114099,0.1040029000174851,0.02001407131728434,Logistic
5,down_proj,67895296,1000000,0.03711625207030078,0.1580687675726872,0.05907280687189832,0.029561926090440865,0.11636647567142645,0.031054667694093246,Normal
6,q,12845056,1000000,0.07944562390367549,0.11493254373305652,0.022775348451390273,0.05829763454979122,0.08721896065241495,0.009406224395442395,Logistic
6,k,1835008,1000000,0.09734671458367782,0.10626019481927174,0.04440984132024581,0.07608209579485711,0.07029679106810495,0.02353971562686126,Logistic
6,v,1835008,1000000,0.0384400162888939,0.1622515018659761,0.06498443748396006,0.027691226297465708,0.11825727559723606,0.03260591412909933,Normal
6,gate_proj,67895296,1000000,0.05341860598961467,0.14007396371788722,0.039307568728647,0.038907575596667014,0.10655782526836585,0.020990333752868136,Logistic
6,up_proj,67895296,1000000,0.044160509391968236,0.14992398256397169,0.05079461410745393,0.03458483704434562,0.11127194824913236,0.026168963177371347,Normal
6,down_proj,67895296,1000000,0.046667836140445236,0.14797572004380555,0.04946120791439147,0.036104077078298887,0.10972406185010303,0.02469417645744178,Normal
7,q,12845056,1000000,0.09155295306739582,0.10321372142332921,0.016201313112960112,0.06475698546500702,0.08065874771947255,0.008524174590594766,Logistic
7,k,1835008,1000000,0.08440818853606709,0.11699848617016184,0.040052254731943446,0.06422635660339188,0.08177270209399479,0.013361065705729808,Logistic
7,v,1835008,1000000,0.055464520283026154,0.14505631208621256,0.052600013298342775,0.042094736020800466,0.1038833278913233,0.01908778531302333,Logistic
7,gate_proj,67895296,1000000,0.053037525646568384,0.1407583623325036,0.04178673876214805,0.04019937149068253,0.10561225330170738,0.020992035424799074,Logistic
7,up_proj,67895296,1000000,0.0471752201374754,0.1475102601321232,0.049847668113548106,0.037624939908521074,0.10857468643177151,0.024359525181807853,Normal
7,down_proj,67895296,1000000,0.053128844255866864,0.1423495138770129,0.046612010449379404,0.042391441987725105,0.10387202800830969,0.021555266927659685,Logistic
8,q,12845056,1000000,0.10535416705665845,0.08937697871001919,0.026114651208655252,0.07755099693113938,0.06794415334315386,0.02034122478799128,Logistic
8,k,1835008,1000000,0.130530855670035,0.07875338344917095,0.06286877403476487,0.10380917168996102,0.04392603957524547,0.04897105173796297,Logistic
8,v,1835008,1000000,0.04406327379354246,0.1562773640827325,0.06012725002567782,0.032388106186378725,0.11355413270125332,0.02815611635768821,Normal
8,gate_proj,67895296,1000000,0.04569804520776163,0.14836077684048832,0.049418807107646096,0.03575460569885574,0.11016725892848717,0.02515014044726048,Normal
8,up_proj,67895296,1000000,0.03972581333087482,0.15429268665041954,0.054505153591375984,0.03108799047981407,0.11478657258966489,0.029385843045645267,Normal
8,down_proj,67895296,1000000,0.04686870117445755,0.14797561645580234,0.04984272428772845,0.03635158844756981,0.10944225883911926,0.02426809713324388,Normal
9,q,12845056,1000000,0.11066431113312557,0.08466434358598453,0.025795469553872533,0.07820472794650342,0.0672500638305252,0.01953835395768329,Logistic
9,k,1835008,1000000,0.11053729186408402,0.09246556270913811,0.04226577177305331,0.08143696396374653,0.06404849239733874,0.02462676170527982,Logistic
9,v,1835008,1000000,0.03763848848542064,0.16297111475103984,0.06578672110467929,0.02756820480245189,0.11841144859528369,0.03280936469216802,Normal
