module,layer,mse_awq,mse_dacq,winner
model_layers_0_mlp_down_proj_awq,0,4.289827757020248e-06,1.6816212564663147e-06,DACQ
model_layers_0_mlp_gate_proj_awq,0,1.0353689503972419e-05,8.133690243994351e-06,DACQ
model_layers_0_mlp_up_proj_awq,0,3.842663772957167e-06,5.760088697570609e-06,AWQ
model_layers_0_self_attn_k_proj_awq,0,0.3075268864631653,0.03991290554404259,DACQ
model_layers_0_self_attn_q_proj_awq,0,0.0297525804489851,0.005286118946969509,DACQ
model_layers_0_self_attn_v_proj_awq,0,0.001996878068894148,0.00018074532272294164,DACQ
model_layers_10_mlp_down_proj_awq,10,4.407858341437532e-06,2.437383955111727e-06,DACQ
model_layers_10_mlp_gate_proj_awq,10,1.0516180736885872e-05,4.606007678376045e-06,DACQ
model_layers_10_mlp_up_proj_awq,10,4.0886029637476895e-06,2.3270902147487504e-06,DACQ
model_layers_10_self_attn_k_proj_awq,10,2.5388100766576827e-05,3.1484054488828406e-05,AWQ
model_layers_10_self_attn_q_proj_awq,10,1.0003860552387778e-05,7.934599125292152e-06,DACQ
model_layers_10_self_attn_v_proj_awq,10,1.8045213892037282e-06,1.8818581111190724e-06,AWQ
model_layers_11_mlp_down_proj_awq,11,5.3194130487099756e-06,2.5524154807499144e-06,DACQ
model_layers_11_mlp_gate_proj_awq,11,1.2302474715397693e-05,5.11909775013919e-06,DACQ
model_layers_11_mlp_up_proj_awq,11,4.3868067223229446e-06,2.5770914362510666e-06,DACQ
model_layers_11_self_attn_k_proj_awq,11,2.2127002011984587e-05,2.125882929249201e-05,DACQ
model_layers_11_self_attn_q_proj_awq,11,7.747659765300341e-06,5.1666943363670725e-06,DACQ
model_layers_11_self_attn_v_proj_awq,11,1.3752573977399152e-06,1.1929971606150502e-06,DACQ
model_layers_12_mlp_down_proj_awq,12,5.135464562044945e-06,2.644748292368604e-06,DACQ
model_layers_12_mlp_gate_proj_awq,12,1.178668753709644e-05,5.236000106378924e-06,DACQ
model_layers_12_mlp_up_proj_awq,12,4.726019597001141e-06,2.734874669840792e-06,DACQ
model_layers_12_self_attn_k_proj_awq,12,1.8225266103399917e-05,1.5726531273685396e-05,DACQ
model_layers_12_self_attn_q_proj_awq,12,8.130294190777931e-06,5.004209015169181e-06,DACQ
model_layers_12_self_attn_v_proj_awq,12,2.0277695966797182e-06,1.6095611954369815e-06,DACQ
model_layers_13_mlp_down_proj_awq,13,4.126947715121787e-06,2.14543001675338e-06,DACQ
model_layers_13_mlp_gate_proj_awq,13,1.360579608444823e-05,4.875270860793535e-06,DACQ
model_layers_13_mlp_up_proj_awq,13,4.53250913778902e-06,2.452623220960959e-06,DACQ
model_layers_13_self_attn_k_proj_awq,13,2.2847063519293442e-05,2.274585494888015e-05,DACQ
model_layers_13_self_attn_q_proj_awq,13,7.853432180127129e-06,5.092549145047087e-06,DACQ
model_layers_13_self_attn_v_proj_awq,13,1.6473030655106413e-06,1.3507685707736528e-06,DACQ
model_layers_14_mlp_down_proj_awq,14,3.9526066757389344e-06,2.7127193789056037e-06,DACQ
model_layers_14_mlp_gate_proj_awq,14,1.5597508536302485e-05,6.016283350618323e-06,DACQ
model_layers_14_mlp_up_proj_awq,14,4.504250227910234e-06,2.69978249889391e-06,DACQ
model_layers_14_self_attn_k_proj_awq,14,2.6052335670101456e-05,3.213169475202449e-05,AWQ
model_layers_14_self_attn_q_proj_awq,14,8.841955605021212e-06,7.181851287896279e-06,DACQ
model_layers_14_self_attn_v_proj_awq,14,1.8379595303485985e-06,1.9819576664303895e-06,AWQ
model_layers_15_mlp_down_proj_awq,15,4.199703653284814e-06,2.975255029014079e-06,DACQ
model_layers_15_mlp_gate_proj_awq,15,1.6373725884477608e-05,5.975461135676596e-06,DACQ
model_layers_15_mlp_up_proj_awq,15,4.223084033583291e-06,2.5238737180188764e-06,DACQ
model_layers_15_self_attn_k_proj_awq,15,2.0504126950982027e-05,2.538981607358437e-05,AWQ
model_layers_15_self_attn_q_proj_awq,15,1.033044645737391e-05,8.850702215568163e-06,DACQ
model_layers_15_self_attn_v_proj_awq,15,2.3007676190900384e-06,2.7499445423018187e-06,AWQ
model_layers_16_mlp_down_proj_awq,16,3.678190068967524e-06,2.1925163764535682e-06,DACQ
model_layers_16_mlp_gate_proj_awq,16,1.5824763977434486e-05,6.7142095758754294e-06,DACQ
model_layers_16_mlp_up_proj_awq,16,3.962898517784197e-06,2.7591017897066195e-06,DACQ
model_layers_16_self_attn_k_proj_awq,16,2.3391105059999973e-05,2.5512485080980696e-05,AWQ
model_layers_16_self_attn_q_proj_awq,16,9.940513336914591e-06,6.872250651213108e-06,DACQ
model_layers_16_self_attn_v_proj_awq,16,1.9019062165170908e-06,1.9316487396281445e-06,AWQ
model_layers_17_mlp_down_proj_awq,17,3.781335408348241e-06,2.4868711534509202e-06,DACQ
model_layers_17_mlp_gate_proj_awq,17,1.548986074340064e-05,6.654081971646519e-06,DACQ
model_layers_17_mlp_up_proj_awq,17,3.988876869698288e-06,2.6230845833197236e-06,DACQ
model_layers_17_self_attn_k_proj_awq,17,2.204965494456701e-05,2.5080798877752386e-05,AWQ
model_layers_17_self_attn_q_proj_awq,17,9.319052878709044e-06,6.7610235419124365e-06,DACQ
model_layers_17_self_attn_v_proj_awq,17,2.1349299004214117e-06,2.0825627871090546e-06,DACQ
model_layers_18_mlp_down_proj_awq,18,3.4583451906655682e-06,1.6470310129079735e-06,DACQ
model_layers_18_mlp_gate_proj_awq,18,1.4679333617095836e-05,6.7706641857512295e-06,DACQ
model_layers_18_mlp_up_proj_awq,18,3.700315801324905e-06,2.733712562985602e-06,DACQ
model_layers_18_self_attn_k_proj_awq,18,2.102425423800014e-05,2.926668821601197e-05,AWQ
model_layers_18_self_attn_q_proj_awq,18,8.891845027392264e-06,8.559098205296323e-06,DACQ
model_layers_18_self_attn_v_proj_awq,18,1.841773610067321e-06,2.415836661384674e-06,AWQ
model_layers_19_mlp_down_proj_awq,19,3.2358020689571276e-06,2.0609520561265526e-06,DACQ
model_layers_19_mlp_gate_proj_awq,19,1.4695359823235776e-05,6.878642125229817e-06,DACQ
model_layers_19_mlp_up_proj_awq,19,3.6813466977037024e-06,2.751097781583667e-06,DACQ
model_layers_19_self_attn_k_proj_awq,19,2.0242443497409113e-05,2.6184952730545774e-05,AWQ
model_layers_19_self_attn_q_proj_awq,19,9.117791705648415e-06,8.285569492727518e-06,DACQ
model_layers_19_self_attn_v_proj_awq,19,2.0539162051136373e-06,2.566231614764547e-06,AWQ
model_layers_1_mlp_down_proj_awq,1,7.611349701619474e-06,7.109671514626825e-06,DACQ
model_layers_1_mlp_gate_proj_awq,1,9.849050002230797e-06,7.91739785199752e-06,DACQ
model_layers_1_mlp_up_proj_awq,1,5.419865829026094e-06,6.073581062082667e-06,AWQ
model_layers_1_self_attn_k_proj_awq,1,0.9175567626953125,0.07811152935028076,DACQ
model_layers_1_self_attn_q_proj_awq,1,0.285228431224823,0.01598541811108589,DACQ
model_layers_1_self_attn_v_proj_awq,1,0.0407908633351326,0.001991812139749527,DACQ
model_layers_20_mlp_down_proj_awq,20,3.2180419111682568e-06,1.6775157973825117e-06,DACQ
model_layers_20_mlp_gate_proj_awq,20,1.3798545296594966e-05,6.983489129197551e-06,DACQ
model_layers_20_mlp_up_proj_awq,20,3.688397100631846e-06,2.9014827305218205e-06,DACQ
model_layers_20_self_attn_k_proj_awq,20,2.0449548173928633e-05,2.736437090788968e-05,AWQ
model_layers_20_self_attn_q_proj_awq,20,9.025287909025792e-06,8.28530846774811e-06,DACQ
model_layers_20_self_attn_v_proj_awq,20,2.3013005829852773e-06,2.877747874663328e-06,AWQ
model_layers_21_mlp_down_proj_awq,21,3.2579212074779207e-06,2.04746424969926e-06,DACQ
model_layers_21_mlp_gate_proj_awq,21,1.4817660485277884e-05,7.399939477181761e-06,DACQ
model_layers_21_mlp_up_proj_awq,21,3.816366188402753e-06,3.0192802569217747e-06,DACQ
model_layers_21_self_attn_k_proj_awq,21,1.8740680388873443e-05,2.5145462132059038e-05,AWQ
model_layers_21_self_attn_q_proj_awq,21,8.803493074083235e-06,8.133240044116974e-06,DACQ
model_layers_21_self_attn_v_proj_awq,21,2.3648360638617305e-06,3.110686066065682e-06,AWQ
model_layers_22_mlp_down_proj_awq,22,3.0947201139497338e-06,1.8379275843471987e-06,DACQ
model_layers_22_mlp_gate_proj_awq,22,1.2863034498877823e-05,6.671114988421323e-06,DACQ
model_layers_22_mlp_up_proj_awq,22,3.6510778045339976e-06,2.8708871013805037e-06,DACQ
model_layers_22_self_attn_k_proj_awq,22,1.8294053006684408e-05,2.600925654405728e-05,AWQ
model_layers_22_self_attn_q_proj_awq,22,8.374796379939653e-06,8.152592272381298e-06,DACQ
model_layers_22_self_attn_v_proj_awq,22,2.406012981737149e-06,3.258350716350833e-06,AWQ
model_layers_23_mlp_down_proj_awq,23,3.0657120078103617e-06,1.5409181060022092e-06,DACQ
model_layers_23_mlp_gate_proj_awq,23,1.2188905202492606e-05,6.8534022830135655e-06,DACQ
model_layers_23_mlp_up_proj_awq,23,3.751489202841185e-06,2.998573108925484e-06,DACQ
model_layers_23_self_attn_k_proj_awq,23,1.7661293895798735e-05,2.6803982109413482e-05,AWQ
model_layers_23_self_attn_q_proj_awq,23,9.184655937133357e-06,9.354201210953761e-06,AWQ
model_layers_23_self_attn_v_proj_awq,23,2.5996296244557016e-06,3.7935114960419014e-06,AWQ
model_layers_24_mlp_down_proj_awq,24,3.0585956665163394e-06,1.3345652405405417e-06,DACQ
model_layers_24_mlp_gate_proj_awq,24,1.2087797585991211e-05,6.901228061906295e-06,DACQ
